City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
405,Akyab,MM,76.95,clear sky,20.15,92.9,Hotel Memory
407,Valle De San Juan,CO,76.24,overcast clouds,4.1987,-75.1173,Hostal Bety
410,Eyl,SO,81.16,scattered clouds,7.9803,49.8164,Amiin Hotel
411,Progreso,MX,77.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
413,Lazaro Cardenas,MX,82.06,clear sky,17.9583,-102.2,Hotel Quinta Antigua
416,Bambanglipuro,ID,75.85,broken clouds,-7.95,110.2833,Puri Brata
419,Tamandare,BR,77.81,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
421,Itarema,BR,78.15,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
424,Bandarbeyla,SO,81.39,light rain,9.4942,50.8122,JABIR HOTEL
426,Grand Gaube,MU,78.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
428,Catalina Foothills,US,78.01,broken clouds,32.2979,-110.9187,The Westin La Paloma Resort & Spa
430,Araouane,ML,83.08,clear sky,18.9048,-3.5265,
431,Oussouye,SN,77.0,clear sky,12.485,-16.5469,Auberge du Routard
434,Marovoay,MG,77.0,few clouds,-16.1,46.6333,
440,Fomboni,KM,80.91,light rain,-12.28,43.7425,Relais Singani
443,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
452,Dingle,PH,77.63,light rain,10.9995,122.6711,SEGAYA PROPERTY
455,Doha,QA,82.4,clear sky,25.2867,51.5333,Movenpick Hotel Doha
456,Touba,CI,77.63,overcast clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
457,Bara,NG,83.28,overcast clouds,10.3744,10.7288,
471,Pochutla,MX,86.0,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
472,Saint-Pierre,RE,75.2,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
473,Bilma,NE,86.11,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
486,Umm Kaddadah,SD,81.25,clear sky,13.6017,26.6876,
492,Planeta Rica,CO,75.51,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
496,Anloga,GH,75.2,few clouds,5.7947,0.8973,Pin Drop Hotel
501,Santa Ana,US,89.6,clear sky,33.7456,-117.8678,Santa Ana Travel Inn
502,Alyangula,AU,82.4,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
503,Manoharpur,IN,78.8,haze,27.3,75.95,कैथल हरियाणा होटल
504,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
507,Dunmore Town,BS,78.6,broken clouds,25.5,-76.65,Coral Sands Hotel
513,Arantangi,IN,82.29,overcast clouds,10.1667,78.9833,Hotel Sami V Landmarks
515,Camocim,BR,76.86,moderate rain,-2.9022,-40.8411,Hotel Ilha do Amor
517,Bull Savanna,JM,78.35,few clouds,17.8868,-77.5902,Big Red's
518,Caxito,AO,82.4,light rain,-8.5785,13.6643,
519,Mitsamiouli,KM,79.9,light rain,-11.3847,43.2844,Foyer ADM
522,Pontes E Lacerda,BR,75.31,scattered clouds,-15.2261,-59.3353,Hotel Bressan
524,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
527,Lanquin,GT,75.2,scattered clouds,15.5667,-89.9667,Yaxlik River Lodge
529,Pekan,MY,75.2,few clouds,3.4836,103.3996,Pekan Budget Hotel
530,Clovis,US,87.01,few clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
531,Kota Belud,MY,77.0,heavy intensity rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
548,Brokopondo,SR,78.62,overcast clouds,4.75,-55.1667,Matu Island
550,Bowen,AU,77.0,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
555,Ruwi,OM,78.8,clear sky,23.5996,58.5507,Al Falaj Hotel
562,Wenatchee,US,80.6,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
565,Orocue,CO,83.08,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
566,Kurgunta,IN,85.69,few clouds,17.2,77.35,CCi Guest House
569,Laguna,US,90.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
571,San Andres,CO,84.2,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
572,Porto Walter,BR,77.05,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
575,Altamira,BR,77.0,clear sky,-3.2033,-52.2064,Requinte Hotel
577,Namatanai,PG,84.09,overcast clouds,-3.6667,152.4333,Namatanai Hotel
579,Axim,GH,77.07,moderate rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
582,Carutapera,BR,76.17,overcast clouds,-1.195,-46.02,Lidera
584,Conceicao Do Araguaia,BR,75.2,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
590,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
594,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
598,Rayachoti,IN,79.99,overcast clouds,14.05,78.75,Swetha lodge
601,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
602,Tres Lagoas,BR,76.26,clear sky,-20.7511,-51.6783,Druds Express Hotel
604,Tomatlan,MX,84.06,clear sky,19.9333,-105.25,Norma franco
605,Sibolga,ID,75.02,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
606,Gudivada,IN,79.74,broken clouds,16.45,80.9833,B.C Hostel
609,Dinguiraye,GN,84.36,scattered clouds,11.3,-10.7167,
613,Karratha,AU,78.33,clear sky,-20.7377,116.8463,ibis Styles Karratha
620,Coahuayana,MX,80.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
621,Manaure,CO,87.39,overcast clouds,11.7751,-72.4445,Hotel Palaaima
623,Kulhudhuffushi,MV,83.71,overcast clouds,6.6221,73.07,Haajy Guest House 1
631,Benguela,AO,80.4,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
633,Garowe,SO,75.13,few clouds,8.4054,48.4845,Curubo Hotel
634,Xuddur,SO,75.63,broken clouds,4.1213,43.8894,Banjanay Hotel
