City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
168,Inuvik,CA,68.3499,-133.7218,48.2,37,13,8.05,few clouds
169,Riyadh,SA,24.6877,46.7219,78.8,19,0,2.3,clear sky
170,Nanortalik,GL,60.1432,-45.2371,28.81,60,18,10.65,few clouds
171,Arinos,BR,-15.9169,-46.1056,74.86,63,78,1.59,broken clouds
172,Washington,US,47.5001,-120.5015,80.01,16,99,7.0,overcast clouds
173,Porac,PH,15.1,120.5,78.8,65,75,2.3,broken clouds
174,Hualmay,PE,-11.0964,-77.6139,68.99,82,71,8.75,broken clouds
175,Nouadhibou,MR,20.931,-17.0347,66.2,77,0,14.97,clear sky
176,Sembe,CG,1.6481,14.5806,71.64,91,100,1.77,overcast clouds
177,Kondinskoye,RU,59.6481,67.41,17.82,71,74,7.02,broken clouds
178,Yuzhne,UA,46.6221,31.1013,48.2,81,40,8.95,scattered clouds
179,College,US,64.8569,-147.8028,60.8,26,40,2.62,scattered clouds
180,Saskylakh,RU,71.9167,114.0833,3.69,92,97,8.9,overcast clouds
181,Kuito,AO,-12.3833,16.9333,60.28,88,85,2.93,overcast clouds
182,Airai,TL,-8.9266,125.4092,61.18,67,89,1.97,overcast clouds
183,Harper,LR,4.375,-7.7169,80.85,79,99,7.45,overcast clouds
184,Port Alfred,ZA,-33.5906,26.891,74.88,34,0,9.42,clear sky
185,Ilulissat,GL,69.2167,-51.1,12.2,44,55,12.66,broken clouds
186,Gornopravdinsk,RU,60.05,69.9,11.97,73,53,6.91,broken clouds
187,Klaksvik,FO,62.2266,-6.589,41.0,93,75,5.75,broken clouds
188,Broken Hill,AU,-31.95,141.4333,60.8,48,31,5.75,scattered clouds
189,Baykit,RU,61.67,96.37,20.5,97,100,2.46,overcast clouds
190,New Norfolk,AU,-42.7826,147.0587,60.01,76,100,1.01,overcast clouds
191,Ulsteinvik,NO,62.3432,5.8487,45.0,64,1,5.01,clear sky
192,Manuk Mangkaw,PH,4.8,119.85,82.6,75,99,10.69,overcast clouds
193,Torbay,CA,47.6666,-52.7314,37.0,100,90,10.36,light intensity drizzle
194,Ponta Do Sol,PT,32.6667,-17.1,60.01,73,4,1.99,clear sky
195,Hecun,CN,36.5333,114.1111,60.3,42,22,4.38,few clouds
196,Soyo,AO,-6.1349,12.3689,80.58,87,99,3.71,light rain
197,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.4,71,75,18.41,broken clouds
198,Tateyama,JP,34.9833,139.8667,61.0,48,0,3.44,clear sky
199,Novyy Urgal,RU,51.0736,132.5642,40.15,68,13,1.52,few clouds
200,Caravelas,BR,-17.7125,-39.2481,75.85,85,5,8.23,clear sky
201,Nikolskoye,RU,59.7035,30.7861,46.4,53,0,8.95,clear sky
202,Aiken,US,33.5835,-81.5998,73.99,35,1,5.75,clear sky
203,Marawi,PH,7.9986,124.2928,75.99,84,99,4.0,overcast clouds
204,Carnarvon,AU,-24.8667,113.6333,75.36,71,0,17.87,clear sky
205,Faya,SA,18.3851,42.4509,64.4,20,0,8.05,clear sky
206,Jumla,NP,29.2747,82.1838,39.85,75,6,4.38,clear sky
207,Saint George,US,37.1041,-113.5841,75.99,9,1,8.05,clear sky
208,Elliot,ZA,-31.3333,27.85,56.5,36,1,7.9,clear sky
209,Khatanga,RU,71.9667,102.5,-3.35,97,97,7.65,overcast clouds
210,Yulara,AU,-25.2406,130.9889,59.0,44,0,5.75,clear sky
211,Jutai,BR,-5.1833,-68.9,72.19,99,100,2.93,overcast clouds
212,Ajdabiya,LY,30.7554,20.2263,68.65,59,100,23.58,overcast clouds
213,Muros,ES,42.7762,-9.0603,55.99,82,100,1.88,overcast clouds
214,Labuhan,ID,-6.8844,112.2051,76.82,86,94,4.43,overcast clouds
215,Srikakulam,IN,18.3,83.9,80.37,86,6,10.65,clear sky
216,Marsabit,KE,2.3284,37.9899,66.24,76,84,12.26,broken clouds
217,Wajima,JP,37.4,136.9,51.8,71,20,14.97,few clouds
218,Komsomolskiy,UZ,40.4272,71.7189,50.0,71,8,4.61,clear sky
219,Lompoc,US,34.6391,-120.4579,68.0,77,0,17.27,clear sky
220,Kloulklubed,PW,7.0419,134.2556,77.0,94,75,4.61,broken clouds
221,Severo-Kurilsk,RU,50.6789,156.125,35.29,96,100,27.34,moderate rain
222,San Jose De Rio Tinto,HN,14.9333,-85.7,87.8,55,75,4.61,broken clouds
223,Paamiut,GL,61.994,-49.6678,27.39,67,100,10.74,overcast clouds
224,Manta,EC,-0.95,-80.7333,78.8,83,20,4.61,few clouds
225,Santana Do Livramento,BR,-30.8908,-55.5328,64.22,77,0,8.63,clear sky
226,Taoudenni,ML,22.6783,-3.9836,82.62,14,0,11.45,clear sky
227,Chuy,UY,-33.6971,-53.4616,63.36,78,0,7.56,clear sky
228,Belawan,ID,3.7755,98.6832,75.2,100,40,3.44,mist
229,Oktyabrskiy,RU,54.4815,53.471,36.48,62,19,13.6,few clouds
230,Sorland,NO,67.667,12.6934,44.15,77,2,23.98,clear sky
231,Nantucket,US,41.2835,-70.0995,48.2,71,75,14.97,broken clouds
232,Chengde,CN,40.9725,117.9361,54.18,26,0,3.74,clear sky
233,Kaeo,NZ,-35.1,173.7833,64.51,53,79,3.87,broken clouds
234,Vardo,NO,70.3705,31.1107,32.0,80,0,17.34,clear sky
235,Gladstone,AU,-23.85,151.25,73.4,56,3,9.22,light rain
236,Zaysan,KZ,47.4667,84.8667,52.21,47,75,7.31,broken clouds
237,Cabedelo,BR,-6.9811,-34.8339,73.4,100,40,4.61,scattered clouds
238,Isangel,VU,-19.55,169.2667,84.2,70,75,11.5,broken clouds
239,Beringovskiy,RU,63.05,179.3167,32.41,95,94,5.64,overcast clouds
240,Shahgarh,IN,24.3167,79.1333,81.19,21,18,3.06,few clouds
241,Sal Rei,CV,16.1833,-22.9167,69.8,78,75,13.8,broken clouds
242,Tainan,TW,22.9908,120.2133,73.4,73,40,3.91,scattered clouds
243,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,68,20,11.5,few clouds
244,Puerto Ayacucho,VE,5.6639,-67.6236,82.22,72,100,5.64,overcast clouds
245,Yatou,CN,37.15,122.3833,52.79,65,0,11.16,clear sky
246,Half Moon Bay,US,37.4636,-122.4286,71.6,87,75,13.8,mist
247,Meulaboh,ID,4.1363,96.1285,75.81,88,99,2.35,overcast clouds
248,Kaitangata,NZ,-46.2817,169.8464,60.96,57,84,9.78,broken clouds
249,Richards Bay,ZA,-28.783,32.0377,66.0,70,0,12.8,clear sky
250,Kutum,SD,14.2,24.6667,73.27,8,15,5.82,few clouds
251,Ballangen,NO,68.3428,16.8315,39.2,56,39,6.91,scattered clouds
252,Amapa,BR,1.0,-52.0,71.53,99,100,2.21,overcast clouds
253,Fort Smith,US,35.3859,-94.3986,64.4,34,75,12.66,broken clouds
254,Brae,GB,60.3964,-1.353,44.6,87,100,13.8,overcast clouds
255,Gat,IL,31.61,34.7642,80.01,34,30,3.0,scattered clouds
256,Orlik,RU,52.5178,99.825,20.48,78,54,2.62,broken clouds
257,Ribeira Grande,PT,38.5167,-28.7,61.79,84,73,5.82,broken clouds
258,Bom Jesus,BR,-9.0744,-44.3586,72.48,91,98,1.1,light rain
259,Matara,LK,5.9485,80.5353,77.05,87,51,6.15,broken clouds
260,Rudbar,AF,30.15,62.6,75.92,18,100,5.28,overcast clouds
261,Itoman,JP,26.1247,127.6694,66.2,63,40,11.5,scattered clouds
262,Ratodero,PK,27.803,68.2871,78.8,50,40,5.03,haze
263,Kungurtug,RU,50.5994,97.5228,29.34,71,11,2.71,few clouds
264,Monrovia,LR,6.3005,-10.7969,78.8,94,40,10.31,scattered clouds
265,Tiarei,PF,-17.5333,-149.3333,87.8,62,20,6.91,few clouds
266,Clyde River,CA,70.4692,-68.5914,6.8,85,90,10.36,overcast clouds
267,Springdale,US,36.1867,-94.1288,59.0,41,40,11.5,scattered clouds
268,Kaerepere,EE,58.9629,24.8395,39.0,64,0,1.01,clear sky
269,Port Hardy,CA,50.6996,-127.4199,68.0,42,1,4.61,clear sky
270,Bonthe,SL,7.5264,-12.505,81.39,78,44,7.2,scattered clouds
271,Santa Maria,BR,-29.6842,-53.8069,73.4,64,40,11.5,scattered clouds
272,Pula,HR,44.8683,13.8481,44.6,70,0,5.75,clear sky
273,Noumea,NC,-22.2763,166.4572,81.0,69,0,3.44,clear sky
274,Provideniya,RU,64.3833,-173.3,30.2,69,0,4.25,clear sky
275,Faanui,PF,-16.4833,-151.75,82.69,69,9,12.44,clear sky
276,Nemuro,JP,43.3236,145.575,41.0,91,74,16.06,broken clouds
277,Prado,BR,-17.3411,-39.2208,76.3,85,41,9.93,scattered clouds
278,Shimoda,JP,34.6667,138.95,60.8,48,0,3.44,clear sky
